codigo_localidad:nombre_localidad:nombre_provincia:latitud:longitud
450120001:"Almonacid de Toledo":Toledo:39,753623:-3,8534422
450130001:Almorox:Toledo:40,2322653:-4,3886374
450140001:"Añover de Tajo":Toledo:39,9894861:-3,7663657
450150001:Arcicollar:Toledo:40,0550851:-4,116199
450160001:Arges:Toledo:39,8064459:-4,0580482
450180001:Barcience:Toledo:39,9829538:-4,2372773
450190001:Bargas:Toledo:39,9399375:-4,0210189
450200001:"Belvis de la Jara":Toledo:39,760413:-4,9480774
450210001:Borox:Toledo:40,0721403:-3,7388081
450230001:"Burguillos de Toledo":Toledo:39,7984624:-3,9916696
450240001:Burujon:Toledo:39,9005006:-4,2987379
450250001:"Cabañas de la Sagra":Toledo:40,0077856:-3,9483142
450270001:Cabezamesada:Toledo:39,8153147:-3,1014614
451570001:Calalberche:Toledo:40,2674429:-4,2351432
450280002:"Calera y Chozas":Toledo:39,8835326:-4,9805519
450410002:"Calypo Fado":Toledo:40,246322:-4,059889
450300001:"La Calzada de Oropesa":Toledo:39,898873:-5,281665
450310001:Camarena:Toledo:40,0914294:-4,1193959
450320001:Camarenilla:Toledo:40,0181719:-4,0740172
450330001:"El Campillo de la Jara":Toledo:39,5899129:-5,0533632
450340001:"Camuñas":Toledo:39,4287949:-3,4561456
450360001:Carmena:Toledo:39,955628:-4,4014925
450370001:"El Carpio de Tajo":Toledo:39,8881323:-4,456805
450380001:Carranque:Toledo:40,1705846:-3,8999013
450390001:Carriches:Toledo:39,9637199:-4,458092
450400001:"El Casar de Escalona":Toledo:40,0469928:-4,5225009
450410001:"Casarrubios del Monte":Toledo:40,1836187:-4,0362101
450450001:Cazalegas:Toledo:40,0088802:-4,6773317
450460001:Cebolla:Toledo:39,9466014:-4,5688906
450470001:"Cedillo del Condado":Toledo:40,116053:-3,9253761
450480001:"Los Cerralbos":Toledo:39,984366:-4,5695354
450560001:"Chozas de Canales":Toledo:40,0991509:-4,0452765
450500001:Ciruelos:Toledo:39,9385333:-3,6148151
450510001:Cobeja:Toledo:40,0235879:-3,8591678
450520001:Cobisa:Toledo:39,8050296:-4,0248483
450530001:Consuegra:Toledo:39,4642436:-3,609117
450540001:"Corral de Almaguer":Toledo:39,7607239:-3,1704355
450550001:Cuerva:Toledo:39,6646381:-4,2115526
450580001:"Domingo Perez":Toledo:39,9753572:-4,5050892
450590001:Dosbarrios:Toledo:39,8829302:-3,4805705
450610001:Escalona:Toledo:40,1728799:-4,4066355
450620001:Escalonilla:Toledo:39,925328:-4,3485386
450640001:Esquivias:Toledo:40,1033769:-3,7676359
450660001:Fuensalida:Toledo:40,0510725:-4,2102716
450670001:Galvez:Toledo:39,6997756:-4,2717977
451650005:Gamonal:Toledo:39,9613092:-4,9597661
450690001:Gerindote:Toledo:39,9657403:-4,3025876
450700001:Guadamur:Toledo:39,8109979:-4,1475378
450710001:"La Guardia":Toledo:39,7867949:-3,4738208
450720001:"Las Herencias":Toledo:39,868738:-4,9214624
450760001:Hormigos:Toledo:40,0973091:-4,4452233
450770001:Huecas:Toledo:40,0112848:-4,1955416
450780001:"Huerta de Valdecarabanos":Toledo:39,862893:-3,6122825
450810001:Illescas:Toledo:40,1262812:-3,8489895
450820001:Lagartera:Toledo:39,907158:-5,2018774
450830001:Layos:Toledo:39,7760417:-4,0637965
450840001:Lillo:Toledo:39,7222339:-3,3049024
450850001:Lominchar:Toledo:40,0915625:-3,9687122
450870001:Madridejos:Toledo:39,4717383:-3,5332049
450880001:Magan:Toledo:39,9596149:-3,933021
450890002:"Malpica de Tajo":Toledo:39,8975511:-4,5480116
450900001:Manzaneque:Toledo:39,6352231:-3,7930449
450910001:Maqueda:Toledo:40,0662793:-4,3700029
450920001:Marjaliza:Toledo:39,5628186:-3,9349324
450940001:Mascaraque:Toledo:39,7164051:-3,8114744
450950001:"La Mata":Toledo:39,9414425:-4,4375035
450960002:Mazarambroz:Toledo:39,694596:-4,0197425
450970001:Mejorada:Toledo:40,0092529:-4,8857793
450720002:"El Membrillo":Toledo:39,8394052:-4,8254945
450980001:Menasalbas:Toledo:39,6414112:-4,2833418
450990001:Mentrida:Toledo:40,2394809:-4,1936206
451010001:"Miguel Esteban":Toledo:39,526064:-3,0751517
451020002:Mocejon:Toledo:39,9382934:-3,9190062
451060001:Mora:Toledo:39,6861673:-3,7714464
451070001:Nambroca:Toledo:39,7974582:-3,945765
451080001:"La Nava de Ricomalillo":Toledo:39,6519539:-4,9883486
451090001:Navahermosa:Toledo:39,6355945:-4,4722512
451100001:Navalcan:Toledo:40,0680392:-5,0950121
451120001:"Los Navalmorales":Toledo:39,7255072:-4,6411607
451130002:"Los Navalucillos":Toledo:39,664984:-4,6424521
451140001:Navamorcuende:Toledo:40,1578477:-4,7859886
451150001:Noblejas:Toledo:39,9777876:-3,4410005
451160001:Noez:Toledo:39,7402069:-4,1859373
451170001:Nombela:Toledo:40,1563543:-4,5044451
451180001:Noves:Toledo:40,0474984:-4,2730802
451190001:"Numancia de la Sagra":Toledo:40,0770092:-3,8570215
451210001:"Ocaña":Toledo:39,9569147:-3,4982579
451220001:"Olias del Rey":Toledo:39,9449708:-3,9865671
451230001:Ontigola:Toledo:40,0097043:-3,5724118
451240002:Orgaz:Toledo:39,6479222:-3,8769847
451250002:Oropesa:Toledo:39,9175391:-5,1747162
451270001:Palomeque:Toledo:40,1198676:-3,963612
451280001:Pantoja:Toledo:40,0448315:-3,8362694
451300001:Parrillas:Toledo:40,0617373:-5,0637726
450190003:"Las Perdices":Toledo:39,9186679:-4,02421
451330001:Polan:Toledo:39,7871361:-4,168014
451340001:"Portillo de Toledo":Toledo:40,0619825:-4,2269278
451350001:"La Puebla de Almoradiel":Toledo:39,5971578:-3,1202628
451360001:"La Puebla de Montalban":Toledo:39,8643515:-4,3593203
451370001:"La Pueblanueva":Toledo:39,9143267:-4,6769296
451380001:"El Puente del Arzobispo":Toledo:39,8029636:-5,1718763
451400001:Pulgar:Toledo:39,6925042:-4,1526561
451410001:Quero:Toledo:39,5097777:-3,2470488
451420001:"Quintanar de la Orden":Toledo:39,5941156:-3,0400945
451430001:Quismondo:Toledo:40,1069869:-4,3244079
451440001:"El Real de San Vicente":Toledo:40,1362192:-4,6902558
451450001:Recas:Toledo:40,0537177:-3,990394
451470001:Rielves:Toledo:39,9607549:-4,1936206
